GDAY_DS,T_ID,W,L,D,누적승률
20200702SKSS,SS,27,24,0,0.5294117647058824
20200703LGSS,SS,28,24,0,0.5384615384615384
20200704LGSS,SS,29,24,0,0.5471698113207547
20200705LGSS,SS,29,25,0,0.5370370370370371
20200707SSWO,SS,30,25,0,0.5454545454545454
20200708SSWO,SS,30,26,0,0.5357142857142857
20200709SSWO,SS,30,27,0,0.5263157894736842
20200710SSKT,SS,30,28,0,0.5172413793103449
20200711SSKT,SS,30,29,0,0.5084745762711864
20200714HTSS,SS,31,29,0,0.5166666666666667
20200715HTSS,SS,31,30,0,0.5081967213114754
20200716HTSS,SS,32,30,0,0.5161290322580645
20200717LTSS,SS,33,30,0,0.5238095238095238
20200718LTSS,SS,34,30,0,0.53125
20200719LTSS,SS,34,31,0,0.5230769230769231
20200721SSNC,SS,34,32,0,0.5151515151515151
20200725SSHT,SS,34,33,0,0.5074626865671642
20200726SSHT,SS,34,34,0,0.5
20200729HHSS,SS,34,35,0,0.4927536231884058
20200730HHSS,SS,35,35,0,0.5
20200731WOSS,SS,35,36,0,0.49295774647887325
20200801WOSS,SS,35,37,0,0.4861111111111111
20200802WOSS,SS,35,38,0,0.4794520547945205
20200804SSOB,SS,36,38,0,0.4864864864864865
20200805SSOB,SS,36,38,1,0.4864864864864865
20200806SSOB,SS,36,39,1,0.48
20200807SSSK,SS,37,39,1,0.4868421052631579
20200808SSSK,SS,37,40,1,0.4805194805194805
20200811OBSS,SS,37,41,1,0.47435897435897434
20200812OBSS,SS,37,42,1,0.46835443037974683
20200813OBSS,SS,38,42,1,0.475
20200814SSHH,SS,39,42,1,0.48148148148148145
20200815SSHH,SS,40,42,1,0.4878048780487805
20200816SSHH,SS,40,43,1,0.4819277108433735
20200818KTSS,SS,40,44,1,0.47619047619047616
20200819KTSS,SS,40,45,1,0.47058823529411764
20200820SSSK,SS,41,45,1,0.47674418604651164
20200821SSSK,SS,41,46,1,0.47126436781609193
20200822LTSS,SS,41,47,1,0.4659090909090909
20200823LTSS,SS,41,48,1,0.4606741573033708
20200825LGSS,SS,42,48,1,0.4666666666666667
20200826LGSS,SS,42,49,1,0.46153846153846156
20200827SSHH,SS,42,50,1,0.45652173913043476
20200829SSWO,SS,43,50,1,0.46236559139784944
20200830SSWO,SS,43,51,1,0.4574468085106383
20200901SSHT,SS,43,52,1,0.45263157894736844
20200903OBSS,SS,44,52,1,0.4583333333333333
20200904OBSS,SS,45,52,1,0.4639175257731959
20200906NCSS,SS,46,52,1,0.46938775510204084
20200908HHSS,SS,46,53,1,0.46464646464646464
20200909HHSS,SS,46,53,2,0.46464646464646464
20200909HHSS,SS,46,54,2,0.46
20200910SSLT,SS,46,55,2,0.45544554455445546
20200911SSLT,SS,46,56,2,0.45098039215686275
20200912SSLG,SS,47,56,2,0.4563106796116505
20200913SSLG,SS,48,56,2,0.46153846153846156
20200915SSKT,SS,49,56,2,0.4666666666666667
20200916SSKT,SS,49,57,2,0.46226415094339623
20200917HTSS,SS,49,58,2,0.45794392523364486
20200918HTSS,SS,49,59,2,0.4537037037037037
20200919WOSS,SS,49,60,2,0.44954128440366975
20200920WOSS,SS,50,60,2,0.45454545454545453
20200922SSNC,SS,50,61,2,0.45045045045045046
20200923SSNC,SS,50,62,2,0.44642857142857145
20200924SSOB,SS,50,63,2,0.4424778761061947
20200925SSOB,SS,51,63,2,0.4473684210526316
20200926SKSS,SS,52,63,2,0.45217391304347826
20200927SKSS,SS,52,64,2,0.4482758620689655
